ParentAm,ParentA,ParentZ,Parent,ParentN,T_{1/2},E_X[keV],Jp,Decay,Q-decay,DaughterAm,DaughterA,DaughterZ,Daughter,DaughterN
237,237,93,Np,144, 2.144 x 106  y 7 , 0.0    , 5/2+ , α  100 % , 4957.3 7 ,233,233,91,Pa,142
237,237,93,Np,144, 0.71  μs 4 , 945.20   10 ," 11/2,13/2 ", IT  100 % , 945.2 10 ,237,237,93,Np,144
233,233,91,Pa,142, 26.975  d 13 , 0.0    , 3/2- , β-  100 % , 570.3 20 ,233,233,92,U,141
233,233,92,U,141, 1.592 x 105  y 2 , 0.0    , 5/2+ , α  100 % , 4908.7 12 ,229,229,90,Th,139
229,229,90,Th,139, 7880  y 120 , 0.0    , 5/2+ , α  100 % , 5167.6 10 ,225,225,88,Ra,137
225,225,88,Ra,137, 14.9  d 2 , 0.0    , 1/2+ , α  0.026  6 % , 5097 5 ,221,221,86,Rn,135
225,225,88,Ra,137, 14.9  d 2 , 0.0    , 1/2+ , β-  100 % , 356 5 ,225,225,89,Ac,136
225,225,89,Ac,136, 9.9203  d 3 , 0.0    , (3/2-) , α  100 % , 5935.1 14 ,221,221,87,Fr,134
221,221,86,Rn,135, 25  min 2 , 0.0    , 7/2+ , β-  78  1 % , 1194 7 ,221,221,87,Fr,134
221,221,86,Rn,135, 25  min 2 , 0.0    , 7/2+ , α  22  1 % , 6163 3 ,217,217,84,Po,133
221,221,87,Fr,134, 4.9  min 2 , 0.0    , 5/2- , β- < 0.1 % , 313 6 ,221,221,88,Ra,133
221,221,87,Fr,134, 4.9  min 2 , 0.0    , 5/2- , α  100 % , 6457.7 14 ,217,217,85,At,132
217,217,84,Po,133, 1.53  s 5 , 0.0    , (9/2+) , β- < 5 % , 1489 8 ,217,217,85,At,132
217,217,84,Po,133, 1.53  s 5 , 0.0    , (9/2+) , α > 95 % , 6662.1 23 ,213,213,82,Pb,131
213,213,82,Pb,131, 10.2  min 3 , 0.0    , (9/2+) , β-  100 % , 2028 8 ,213,213,83,Bi,130
221,221,88,Ra,133, 28  s 2 , 0.0    , 5/2+ , α  100 % , 6880.4 19 ,217,217,86,Rn,131
217,217,85,At,132, 32.6  ms 3 , 0.0    , 9/2- , β-  0.007  3 % , 736 6 ,217,217,86,Rn,131
217,217,85,At,132, 32.6  ms 3 , 0.0    , 9/2- , α  99.993  3 % , 7201.3 12 ,213,213,83,Bi,130
217,217,86,Rn,131, 0.54  ms 5 , 0.0    , 9/2+ , α  100 % , 7887 3 ,213,213,84,Po,129
213,213,83,Bi,130, 45.59  min 6 , 0.0    , 9/2- , β-  97.80  10 % , 1422 5 ,213,213,84,Po,129
213,213,83,Bi,130, 45.59  min 6 , 0.0    , 9/2- , α  2.20  10 % , 5988 3 ,209,209,81,Tl,128
209,209,81,Tl,128, 2.162  min 7 , 0.0    , 1/2+ , β-  100 % , 3970 6 ,209,209,82,Pb,127
213,213,84,Po,129, 3.72  μs 2 , 0.0    , 9/2+ , α  100 % , 8536 3 ,209,209,82,Pb,127
213,213,84,Po,129, 93  ps 14 , 440.450   9 , 7/2+ , α  0.001 % , 8977 3 ,209,209,82,Pb,127
209,209,82,Pb,127, 3.234  h 7 , 0    , 9/2+ , β-  100 % , 644.0 11 ,209,209,83,Bi,126
209,209,83,Bi,126, 2.01 x 1019  y 8 , 0.0    , 9/2- , α  100 % , 3137.3 8 ,205,205,81,Tl,124
