ParentAm,ParentA,ParentZ,Parent,ParentN,T_{1/2},E_X[keV],Jp,Decay,Q-decay,DaughterAm,DaughterA,DaughterZ,Daughter,DaughterN,lambda[h^-1],Partial_lambda[h^-1]
235,235,92,U,143,7.04x108y1,0.0,7/2-,α100%,4678.07,231,231,90,Th,141,1.1239544101545472e-13,1.1239544101545472e-13
231,231,90,Th,141,25.52h1,0.0,5/2+,β-100%,391.515,231,231,91,Pa,140,0.027160939677114027,0.027160939677114023
231,231,91,Pa,140,3.276x104y11,0,3/2-,α100%,5149.98,227,227,89,Ac,138,2.4153354845812006e-09,2.4153354845812006e-09
227,227,89,Ac,138,21.772y3,0.0,3/2-,α1.380036%,5042.2714,223,223,87,Fr,136,3.63431887171046e-06,5.015490878439817e-08
227,227,89,Ac,138,21.772y3,0.0,3/2-,β-98.620036%,44.88,227,227,90,Th,137,3.63431887171046e-06,3.5841665796356494e-06
227,227,90,Th,137,18.697d7,0.0,(1/2+),α100%,6146.6010,223,223,88,Ra,135,0.0015446934012585574,0.0015446934012585572
223,223,87,Fr,136,22.00min7,0.0,3/2(-),α0.006%,55613,219,219,85,At,134,1.8904014015271362,0.00011342408409162818
223,223,87,Fr,136,22.00min7,0.0,3/2(-),β-99.994%,1149.18,223,223,88,Ra,135,1.8904014015271362,1.8902879774430446
219,219,85,At,134,56s3,0.0,(9/2-),β-6.410%,15673,219,219,86,Rn,133,44.55946160742535,2.8562614890359646
219,219,85,At,134,56s3,0.0,(9/2-),α93.610%,63425,215,215,83,Bi,132,44.55946160742535,41.71211201071087
223,223,88,Ra,135,11.43d5,0.0,3/2+,α100%,5978.9921,219,219,86,Rn,133,0.0025267832478854985,0.0025267832478854985
219,219,86,Rn,133,3.96s1,0.0,5/2+,α100%,6946.23,215,215,84,Po,131,630.1338005090454,630.1338005090454
215,215,83,Bi,132,7.6min2,0.0,(9/2-),β-100%,21716,215,215,84,Po,131,5.472214583368026,5.472214583368026
215,215,84,Po,131,1.781ms5,0.0,9/2+,α99.999772%,7526.38,211,211,82,Pb,129,1401083.5766512183,1401080.3821806633
211,211,82,Pb,129,36.1min2,0.0,9/2+,β-100%,13665,211,211,83,Bi,128,1.1520451754459,1.1520451754459
211,211,83,Bi,128,2.14min2,0.0,9/2-,α99.7244%,6750.45,207,207,81,Tl,126,19.43403309981168,19.380472904588597
211,211,83,Bi,128,2.14min2,0.0,9/2-,β-0.2764%,5735,211,211,84,Po,127,19.43403309981168,0.053715667487879475
211,211,84,Po,127,0.516s3,0.0,9/2+,α100%,7594.65,207,207,82,Pb,125,4835.910562046162,4835.910562046162
211,211,84,Po,127,243ns21,21355,(31/2-),IT≈100%,21355,211,211,84,Po,127,10268847119.406666,10268847119.406666
211,211,84,Po,127,2.8μs7,48726,(43/2+),IT≈100%,48726,211,211,84,Po,127,891189232.1485071,891189232.1485071
207,207,81,Tl,126,4.77min3,0,1/2+,β-100%,14185,207,207,82,Pb,125,8.718832459873585,8.718832459873585
