ParentAm,ParentA,ParentZ,Parent,ParentN,T_{1/2},E_X[keV],Jp,Decay,Q-decay,DaughterAm,DaughterA,DaughterZ,Daughter,DaughterN,lambda[h^-1],Partial_lambda[h^-1]
232,232,90,Th,142,1.40x1010y1,0,0+,α100%,4081.614,228,228,88,Ra,140,5.65188503392001e-15,5.65188503392001e-15
228,228,88,Ra,140,5.75y3,0,0+,β-100%,45.56,228,228,89,Ac,139,1.3761111386935675e-05,1.3761111386935675e-05
228,228,89,Ac,139,6.15h2,0,3+,β-100%,21243,228,228,90,Th,138,0.11270685862763413,0.11270685862763413
228,228,90,Th,138,1.9116y16,0.0,0+,α100%,5520.1522,224,224,88,Ra,136,4.1392755008830364e-05,4.139275500883036e-05
224,224,88,Ra,136,3.6319d23,0,0+,α100%,5788.9215,220,220,86,Rn,134,0.00795207261304861,0.00795207261304861
220,220,86,Rn,134,55.6s1,0,0+,α100%,6404.7410,216,216,84,Po,132,44.88003327366582,44.88003327366582
216,216,84,Po,132,0.145s2,0.0,0+,α100%,6906.35,212,212,82,Pb,130,17209.171379419447,17209.171379419447
212,212,82,Pb,130,10.64h1,0.0,0+,β-100%,569.118,212,212,83,Bi,129,0.0651454117067622,0.0651454117067622
212,212,82,Pb,130,5μs1,0.0+X,,IT1000%,0,212,212,82,Pb,130,499065970.003164,4990659700.03164
212,212,83,Bi,129,60.55min6,0.0,1(-),β-64.066%,2251.517,212,212,84,Po,128,0.6868510459718745,0.44003799111234115
212,212,83,Bi,129,60.55min6,0.0,1(-),α35.946%,6207.263,208,208,81,Tl,127,0.6868510459718745,0.24689547698505
208,208,81,Tl,127,3.053min4,0.0,5+,β-100%,4998.517,208,208,82,Pb,126,13.622283273369472,13.62228327336947
212,212,84,Po,128,0.299μs2,0.0,0+,α100%,8954.2011,208,208,82,Pb,126,8345584782.661605,8345584782.661605
