iter_index,time,Tl_207,Pb_207,Pb_211,Bi_211,Bi_215,Po_211,Po_215,At_219,Rn_219,Fr_223,Ra_223,Ac_227,Th_227,Th_231,Pa_231,U_235
0,0,0,0,0,0,0,0,0,2301,3012,2123,0,0,0,0,0,0
10,0.01,2.27819,0.0661128,3045.28,27.0423,752.107,0.000293503,0.00864619,1473.53,12.6907,2083.24,39.7534,0,0,0,0,0
20,0.02,9.76322,0.578968,3106.22,54.493,1193.7,0.000599483,0.00673699,943.631,4.61321,2044.23,78.7613,0,0,0,0,0
30,0.03,21.3069,1.94351,3166.24,77.7133,1438.57,0.000858287,0.0069445,604.29,2.94806,2005.95,117.038,0,0,0,0,0
40,0.04,35.8593,4.46402,3226.87,97.4665,1559.48,0.00107842,0.00694009,386.981,1.8882,1968.39,154.596,0,0,0,0,0
50,0.05,52.5852,8.36333,3285.76,114.358,1602.92,0.00126665,0.00680456,247.819,1.20955,1931.53,191.451,0,0,0,0,0
60,0.06,70.8185,13.7994,3341.5,128.866,1598.57,0.0014283,0.00659211,158.702,0.775001,1895.35,227.614,0,0,0,0,0
70,0.07,90.0286,20.8785,3393.31,141.375,1565.31,0.00156767,0.0063371,101.632,0.496771,1859.86,263.099,0,0,0,0,0
80,0.08,109.793,29.6656,3440.81,152.194,1515.18,0.0016882,0.00606118,65.0856,0.318644,1825.03,297.918,0,0,0,0,0
90,0.09,129.776,40.1931,3483.85,161.575,1455.77,0.00179271,0.00577785,41.6815,0.204622,1790.86,332.085,0,0,0,0,0
100,0.1,149.713,52.4673,3522.46,169.726,1391.87,0.00188351,0.00549547,26.6939,0.13165,1757.32,365.61,0,0,0,0,0
110,0.11,169.396,66.4741,3556.73,176.818,1326.47,0.00196251,0.00521906,17.096,0.0849663,1724.41,398.507,0,0,0,0,0
120,0.12,188.663,82.1835,3586.82,182.993,1261.43,0.0020313,0.00495157,10.9496,0.0551154,1692.12,430.787,0,0,0,0,0
130,0.13,207.392,99.5532,3612.9,188.371,1197.83,0.00209121,0.00469461,7.01352,0.0360434,1660.43,462.461,0,0,0,0,0
140,0.14,225.487,118.531,3635.19,193.052,1136.34,0.00214335,0.00444896,4.49287,0.0238732,1629.34,493.541,0,0,0,0,0
150,0.15,242.881,139.06,3653.88,197.119,1077.29,0.00218866,0.00421487,2.87865,0.0161221,1598.83,524.038,0,0,0,0,0
